codigo,materia,correlativas
03621,"MATEMATICA DISCRETA",
03622,"ANALISIS MATEMATICO I",
03623,"PROGRAMACION INICIAL",
03624,"INTRODUCCION A LOS SISTEMAS DE INFORMACION",
03625,"SISTEMAS DE NUMERACION",
03626,"PRINCIPIOS DE CALIDAD DE SOFTWARE",
00901,"INGLES NIVEL I",
00911,"COMPUTACION NIVEL I",
03627,"ALGEBRA Y GEOMETRIA ANALITICA I",
03628,"FISICA I","03622"
03629,"PROGRAMACION ESTRUCTURADA BASICA","03623"
03630,"INTRODUCCION A LA GESTION DE REQUISITOS","03624"
03631,"FUNDAMENTOS DE SISTEMAS EMBEBIDOS","03625"
03632,"INTRODUCCION A LOS PROYECTOS INFORMATICOS",
00902,"INGLES NIVEL II","00901"
00912,"COMPUTACION NIVEL II","00911"
03633,"ANALISIS MATEMATICO II","03622"
03634,"FISICA II","03628"
03635,"TOPICOS DE PROGRAMACION","03621 - 03629"
03636,"BASES DE DATOS","03621 - 03629"
03637,"ANALISIS DE SISTEMAS","03630"
03638,"ARQUITECTURA DE COMPUTADORAS","03631"
03676,"RESPONSABILIDAD SOCIAL UNIVERSITARIA","03626"
00903,"INGLES NIVEL III","00902"
03639,"ANALISIS MATEMATICO III","03633"
03640,"ALGORITMOS Y ESTRUCTURAS DE DATOS","03635"
03641,"BASES DE DATOS APLICADAS","03636"
03642,"PRINCIPIOS DE DISEÑO DE SISTEMAS","03626 - 03637"
03643,"REDES DE COMPUTADORAS","03634 - 03638"
03644,"GESTION DE LAS ORGANIZACIONES","03632"
03680,"TALLER DE INTEGRACION","03621 - 03623 - 03624 - 03625 - 03626 - 03630 - 03632 - 03635 - 03636 - 03638"
00904,"INGLES NIVEL IV","00903"
03645,"ALGEBRA Y GEOMETRIA ANALITICA II","03627"
03646,"PARADIGMAS DE PROGRAMACION","03633 - 03640"
03647,"REQUISITOS AVANZADOS","03642"
03648,"DISEÑO DE SOFTWARE","03636 - 03642"
03649,"SISTEMAS OPERATIVOS","03638"
03650,"SEGURIDAD DE LA INFORMACION","03635 - 03638 - 03643"
03675,"PRACTICA PROFESIONAL SUPERVISADA","03642"
03651,"PROBABILIDAD Y ESTADISTICA","03621 - 03639 - 03645"
03652,"PROGRAMACION AVANZADA","03646 - 03641"
03653,"ARQUITECTURA DE SISTEMAS SOFTWARE","03648"
03654,"VIRTUALIZACION DE HARDWARE","03640 - 03645 - 03649"
03655,"AUDITORIA Y LEGISLACION","03650"
03656,"ESTADISTICA APLICADA","03641 - 03651"
03657,"AUTOMATAS Y GRAMATICAS","03646"
03658,"PROGRAMACION CONCURRENTE","03646 - 03654"
03659,"GESTION APLICADA AL DESARROLLO DE SOFTWARE I","03644 - 03647 - 03653"
03660,"SISTEMAS OPERATIVOS AVANZADOS","03654"
03661,"GESTION DE PROYECTOS","03644 - 03650 - 03651"
03662,"MATEMATICA APLICADA","03651"
03663,"LENGUAJES Y COMPILADORES","03657"
03664,"INTELIGENCIA ARTIFICIAL","03646 - 03651"
03665,"GESTION APLICADA AL DESARROLLO DE SOFTWARE II","03652 - 03659"
03666,"SEGURIDAD APLICADA Y FORENSIA","03649 - 03652 - 03655"
03667,"GESTION DE LA CALIDAD EN PROCESOS DE SISTEMAS","03647"
03668,"INTELIGENCIA ARTIFICIAL APLICADA","03656 - 03664"
03669,"INNOVACION Y EMPRENDEDORISMO","03661"
03670,"CIENCIA DE DATOS","03656 - 03664"
03672,"ELECTIVA I",
03673,"ELECTIVA II",
03674,"ELECTIVA III",
03671,"PROYECTO FINAL DE CARRERA","03656 - 03659 - 03660 - 03661 - 03667" 
